second,open,high,low,close,volume
2024-05-17 07:59:30-04:00,21.33,21.35,21.29,21.32,6791.0
2024-05-17 07:59:31-04:00,21.3,21.3,21.27,21.29,1518.0
2024-05-17 07:59:32-04:00,21.27,21.3,21.26,21.26,1452.0
2024-05-17 07:59:33-04:00,21.27,21.27,21.26,21.27,701.0
2024-05-17 07:59:34-04:00,21.25,21.27,21.22,21.27,3867.0
2024-05-17 07:59:35-04:00,21.26,21.26,21.22,21.23,1292.0
2024-05-17 07:59:36-04:00,21.23,21.25,21.22,21.25,1480.0
2024-05-17 07:59:37-04:00,21.24,21.24,21.21,21.21,4023.0
2024-05-17 07:59:38-04:00,21.21,21.23,21.17,21.19,2147.0
2024-05-17 07:59:39-04:00,21.21,21.21,21.16,21.19,514.0
2024-05-17 07:59:40-04:00,21.16,21.2,21.16,21.2,387.0
2024-05-17 07:59:41-04:00,21.2,21.2,21.16,21.16,2497.0
2024-05-17 07:59:42-04:00,21.16,21.17,21.15,21.15,1706.0
2024-05-17 07:59:43-04:00,21.15,21.15,21.11,21.11,2298.0
2024-05-17 07:59:44-04:00,21.11,21.16,21.1,21.12,5111.0
2024-05-17 07:59:45-04:00,21.13,21.15,21.11,21.12,3248.0
2024-05-17 07:59:46-04:00,21.11,21.13,21.08,21.08,7447.0
2024-05-17 07:59:47-04:00,21.1,21.11,21.07,21.071,3089.0
2024-05-17 07:59:48-04:00,21.08,21.1,21.07,21.08,1303.0
2024-05-17 07:59:49-04:00,21.1,21.1,21.07,21.07,2606.0
2024-05-17 07:59:50-04:00,21.08,21.08,21.06,21.06,4241.0
2024-05-17 07:59:51-04:00,21.07,21.07,21.05,21.06,2744.0
2024-05-17 07:59:52-04:00,21.06,21.06,21.06,21.06,880.0
2024-05-17 07:59:53-04:00,21.06,21.08,21.05,21.06,13489.0
2024-05-17 07:59:54-04:00,21.06,21.07,21.05,21.06,6502.0
2024-05-17 07:59:55-04:00,21.05,21.08,21.04,21.07,6243.0
2024-05-17 07:59:56-04:00,21.06,21.1,21.05,21.08,6861.0
2024-05-17 07:59:57-04:00,21.1,21.1,21.06,21.099,7375.0
2024-05-17 07:59:58-04:00,21.1,21.11,21.07,21.09,3551.0
2024-05-17 07:59:59-04:00,21.1,21.2,21.09,21.19,23515.0
2024-05-17 08:00:00-04:00,21.2,25.85,21.05,24.18,88331.0
2024-05-17 08:00:01-04:00,22.41,25.85,21.05,22.9,238934.0
2024-05-17 08:00:02-04:00,24.02,25.8301,21.05,25.01,231786.0
2024-05-17 08:00:03-04:00,21.6587,25.82,21.05,24.9,143921.0
2024-05-17 08:00:04-04:00,24.75,25.47,21.11,24.65,90137.0
2024-05-17 08:00:05-04:00,24.65,25.35,21.0698,21.84,192248.0
2024-05-17 08:00:06-04:00,22.225,24.02,21.04,21.68,171267.0
2024-05-17 08:00:07-04:00,22.96,23.0,21.04,21.17,53819.0
2024-05-17 08:00:08-04:00,21.17,21.2423,21.11,21.13,1872.0
2024-05-17 08:00:09-04:00,21.18,21.2,21.11,21.19,351.0
2024-05-17 08:00:10-04:00,21.2,21.22,21.16,21.16,1465.0
2024-05-17 08:00:11-04:00,21.17,21.25,21.16,21.19,11728.0
2024-05-17 08:00:12-04:00,21.21,21.25,21.2,21.23,871.0
2024-05-17 08:00:13-04:00,21.2,21.25,21.16,21.25,1268.0
2024-05-17 08:00:14-04:00,21.25,21.25,21.11,21.1199,7637.0
2024-05-17 08:00:15-04:00,21.1188,21.1923,21.1,21.11,3045.0
2024-05-17 08:00:16-04:00,21.11,21.11,21.1,21.11,2940.0
2024-05-17 08:00:17-04:00,21.1,21.11,21.1,21.11,1531.0
2024-05-17 08:00:18-04:00,21.1176,21.12,21.1,21.11,1633.0
2024-05-17 08:00:19-04:00,21.1088,21.12,21.1,21.11,6340.0
2024-05-17 08:00:20-04:00,21.11,21.12,21.07,21.08,4605.0
2024-05-17 08:00:21-04:00,21.0799,21.08,21.07,21.08,2687.0
2024-05-17 08:00:22-04:00,21.08,21.08,21.05,21.0588,1937.0
2024-05-17 08:00:23-04:00,21.05,21.1,21.04,21.05,25862.0
2024-05-17 08:00:24-04:00,21.04,21.1,21.02,21.07,14875.0
2024-05-17 08:00:25-04:00,21.06,21.1,21.02,21.03,1382.0
2024-05-17 08:00:26-04:00,21.02,21.02,21.0,21.0,19403.0
2024-05-17 08:00:27-04:00,21.0,21.01,20.99,21.0,15562.0
2024-05-17 08:00:28-04:00,21.01,21.01,20.98,21.0,10645.0
2024-05-17 08:00:29-04:00,21.0,21.01,21.0,21.0098,6265.0
2024-05-17 08:00:30-04:00,21.0088,21.01,21.0,21.005,2679.0
2024-05-17 08:00:31-04:00,21.0088,21.1,21.005,21.1,12740.0
2024-05-17 08:00:32-04:00,21.1,21.16,21.055,21.11,5602.0
2024-05-17 08:00:33-04:00,21.16,21.19,21.02,21.1,5527.0
2024-05-17 08:00:34-04:00,21.1723,21.1723,21.01,21.15,1176.0
2024-05-17 08:00:35-04:00,21.09,21.1793,21.01,21.1,2117.0
2024-05-17 08:00:36-04:00,21.145,21.145,21.02,21.09,2744.0
2024-05-17 08:00:37-04:00,21.065,21.11,21.02,21.0307,2243.0
2024-05-17 08:00:38-04:00,21.1024,21.1024,21.03,21.0652,2673.0
2024-05-17 08:00:39-04:00,21.07,21.14,21.04,21.11,9773.0
2024-05-17 08:00:40-04:00,21.0477,21.15,21.03,21.1,2589.0
2024-05-17 08:00:41-04:00,21.031,21.15,21.031,21.07,1216.0
2024-05-17 08:00:42-04:00,21.15,21.1524,21.0376,21.08,884.0
2024-05-17 08:00:43-04:00,21.06,21.08,21.04,21.06,1794.0
2024-05-17 08:00:44-04:00,21.06,21.06,21.035,21.04,2743.0
2024-05-17 08:00:45-04:00,21.0388,21.04,21.02,21.02,1364.0
2024-05-17 08:00:46-04:00,21.02,21.0376,21.0,21.0088,11835.0
2024-05-17 08:00:47-04:00,21.005,21.0097,20.94,20.94,12477.0
2024-05-17 08:00:48-04:00,20.94,20.9488,20.92,20.93,1654.0
2024-05-17 08:00:49-04:00,20.9288,20.9297,20.9,20.91,3324.0
2024-05-17 08:00:50-04:00,20.91,26.54,20.9,20.91,22630.0
2024-05-17 08:00:51-04:00,20.91,20.94,20.9,20.9,2564.0
2024-05-17 08:00:52-04:00,20.91,20.91,20.9,20.9,6518.0
2024-05-17 08:00:53-04:00,20.9,25.5093,20.9,24.794,22509.0
2024-05-17 08:00:54-04:00,24.7547,25.4017,20.9,24.5589,25035.0
2024-05-17 08:00:55-04:00,24.5789,25.3608,20.939,23.0012,51495.0
2024-05-17 08:00:56-04:00,21.1,23.4715,21.0,22.9276,41231.0
2024-05-17 08:00:57-04:00,22.9088,22.9917,21.02,21.5952,28905.0
2024-05-17 08:00:58-04:00,21.594,21.594,21.0276,21.04,7041.0
2024-05-17 08:00:59-04:00,21.11,21.11,21.03,21.03,4999.0
2024-05-17 08:01:00-04:00,21.1,21.22,21.03,21.2123,8331.0
2024-05-17 08:01:01-04:00,21.1401,21.25,21.1177,21.1177,1564.0
2024-05-17 08:01:02-04:00,21.24,21.28,21.125,21.27,3406.0
2024-05-17 08:01:03-04:00,21.28,21.34,21.24,21.28,2258.0
2024-05-17 08:01:04-04:00,21.33,21.4,21.28,21.4,5119.0
2024-05-17 08:01:05-04:00,21.4,21.4,21.35,21.3891,570.0
2024-05-17 08:01:06-04:00,21.36,21.39,21.34,21.35,10409.0
2024-05-17 08:01:07-04:00,21.35,21.35,21.3499,21.35,598.0
2024-05-17 08:01:08-04:00,21.3488,21.3488,21.3,21.31,846.0
2024-05-17 08:01:09-04:00,21.3,21.31,21.3,21.31,3825.0
2024-05-17 08:01:10-04:00,21.31,21.31,21.17,21.22,7287.0
2024-05-17 08:01:11-04:00,21.22,21.22,21.17,21.22,4359.0
2024-05-17 08:01:12-04:00,21.1848,21.22,21.1848,21.22,1214.0
2024-05-17 08:01:13-04:00,21.22,21.22,21.19,21.22,1962.0
2024-05-17 08:01:14-04:00,21.22,21.22,21.19,21.2,1123.0
2024-05-17 08:01:15-04:00,21.19,21.19,21.18,21.18,5692.0
2024-05-17 08:01:16-04:00,21.1798,21.18,21.1788,21.18,1193.0
2024-05-17 08:01:17-04:00,21.18,21.18,21.1712,21.18,575.0
2024-05-17 08:01:18-04:00,21.18,21.22,21.11,21.19,15229.0
2024-05-17 08:01:19-04:00,21.11,21.22,21.11,21.22,4864.0
2024-05-17 08:01:20-04:00,21.18,21.21,21.18,21.18,658.0
2024-05-17 08:01:21-04:00,21.22,21.22,21.15,21.18,2310.0
2024-05-17 08:01:22-04:00,21.22,21.22,21.1277,21.2,1345.0
2024-05-17 08:01:23-04:00,21.17,21.22,21.17,21.2,2822.0
2024-05-17 08:01:24-04:00,21.22,21.22,21.2024,21.21,968.0
2024-05-17 08:01:25-04:00,21.22,21.22,21.2,21.22,3302.0
2024-05-17 08:01:26-04:00,21.22,21.22,21.21,21.2199,1983.0
2024-05-17 08:01:27-04:00,21.2112,21.22,21.16,21.2184,2816.0
2024-05-17 08:01:28-04:00,21.22,21.22,21.15,21.19,1194.0
2024-05-17 08:01:29-04:00,21.1852,21.1852,21.09,21.12,1984.0
2024-05-17 08:01:30-04:00,21.1188,21.2,21.06,21.16,5587.0
2024-05-17 08:01:31-04:00,21.16,21.16,21.06,21.1,2430.0
2024-05-17 08:01:32-04:00,21.08,21.13,21.08,21.12,3015.0
2024-05-17 08:01:33-04:00,21.1187,21.2,21.07,21.14,1271.0
2024-05-17 08:01:34-04:00,21.2,21.2,21.06,21.0688,3900.0
2024-05-17 08:01:35-04:00,21.07,21.07,21.045,21.05,3294.0
2024-05-17 08:01:36-04:00,21.0499,21.05,21.03,21.04,2743.0
2024-05-17 08:01:37-04:00,21.04,21.04,21.02,21.03,771.0
2024-05-17 08:01:38-04:00,21.03,21.03,21.0,21.0,9499.0
2024-05-17 08:01:39-04:00,21.01,21.01,20.91,20.91,8582.0
2024-05-17 08:01:40-04:00,20.95,20.95,20.9,20.91,7437.0
2024-05-17 08:01:41-04:00,20.91,20.93,20.9,20.91,5022.0
2024-05-17 08:01:42-04:00,20.94,20.94,20.9,20.92,1615.0
2024-05-17 08:01:43-04:00,20.9352,20.94,20.88,20.91,1696.0
2024-05-17 08:01:44-04:00,20.94,20.94,20.9001,20.93,1855.0
2024-05-17 08:01:45-04:00,20.91,20.94,20.9,20.9,3907.0
2024-05-17 08:01:46-04:00,20.91,21.0,20.9,21.0,9864.0
2024-05-17 08:01:47-04:00,21.0,21.0,20.9912,21.0,6302.0
2024-05-17 08:01:48-04:00,21.0,21.0,20.9406,20.9406,5934.0
2024-05-17 08:01:49-04:00,20.94,21.0,20.94,20.96,7172.0
2024-05-17 08:01:50-04:00,20.9676,20.9676,20.92,20.95,506.0
2024-05-17 08:01:51-04:00,20.93,20.9464,20.9,20.91,5324.0
2024-05-17 08:01:52-04:00,20.91,20.91,20.9,20.9,5174.0
2024-05-17 08:01:53-04:00,20.91,20.91,20.87,20.88,2938.0
2024-05-17 08:01:54-04:00,20.87,20.87,20.81,20.8112,2290.0
2024-05-17 08:01:55-04:00,20.8112,20.82,20.8,20.81,5633.0
2024-05-17 08:01:56-04:00,20.81,20.86,20.8,20.8,7915.0
2024-05-17 08:01:57-04:00,20.81,20.85,20.8,20.8,3821.0
2024-05-17 08:01:58-04:00,20.8,20.85,20.79,20.7971,3346.0
2024-05-17 08:01:59-04:00,20.79,20.8499,20.79,20.81,2430.0
2024-05-17 08:02:00-04:00,24.7497,25.28,20.8,20.84,6995.0
2024-05-17 08:02:01-04:00,20.82,20.85,20.81,20.82,1208.0
2024-05-17 08:02:02-04:00,20.82,20.85,20.81,20.85,1800.0
2024-05-17 08:02:03-04:00,20.84,20.9,20.8212,20.83,2559.0
2024-05-17 08:02:04-04:00,20.8288,20.83,20.76,20.78,3976.0
2024-05-17 08:02:05-04:00,20.77,20.77,20.76,20.77,5003.0
2024-05-17 08:02:06-04:00,20.76,20.77,20.7112,20.72,8303.0
2024-05-17 08:02:07-04:00,20.72,20.79,20.7188,20.7752,5027.0
2024-05-17 08:02:08-04:00,20.78,20.79,20.76,20.79,4868.0
2024-05-17 08:02:09-04:00,20.7892,20.8,20.7607,20.79,2799.0
2024-05-17 08:02:10-04:00,20.77,20.8,20.75,20.8,4669.0
2024-05-17 08:02:11-04:00,20.8,20.8,20.77,20.79,830.0
2024-05-17 08:02:12-04:00,20.77,20.8,20.77,20.8,1785.0
2024-05-17 08:02:13-04:00,20.7997,20.85,20.79,20.85,10040.0
2024-05-17 08:02:14-04:00,20.86,20.9,20.77,20.87,7449.0
2024-05-17 08:02:15-04:00,20.9,20.9,20.86,20.9,7423.0
2024-05-17 08:02:16-04:00,20.87,20.89,20.85,20.89,4122.0
2024-05-17 08:02:17-04:00,20.86,20.9,20.85,20.85,1802.0
2024-05-17 08:02:18-04:00,20.87,20.9,20.85,20.88,1496.0
2024-05-17 08:02:19-04:00,20.87,20.8964,20.85,20.86,976.0
2024-05-17 08:02:20-04:00,20.86,20.86,20.85,20.86,573.0
2024-05-17 08:02:21-04:00,20.85,20.86,20.85,20.8597,929.0
2024-05-17 08:02:22-04:00,20.86,20.86,20.85,20.86,1294.0
2024-05-17 08:02:23-04:00,20.8588,20.86,20.85,20.8599,483.0
2024-05-17 08:02:24-04:00,20.8503,20.86,20.85,20.86,882.0
2024-05-17 08:02:25-04:00,20.86,20.86,20.85,20.86,2166.0
2024-05-17 08:02:26-04:00,20.87,20.9,20.85,20.8501,6990.0
2024-05-17 08:02:27-04:00,20.9,20.99,20.9,20.99,6558.0
2024-05-17 08:02:28-04:00,21.0,21.0,20.96,20.98,6705.0
2024-05-17 08:02:29-04:00,20.99,21.0,20.97,20.99,1840.0
2024-05-17 08:02:30-04:00,20.99,21.05,20.99,21.05,31654.0
2024-05-17 08:02:31-04:00,21.05,21.2,21.0059,21.18,15907.0
2024-05-17 08:02:32-04:00,21.18,21.2,21.14,21.17,6563.0
2024-05-17 08:02:33-04:00,21.14,21.18,21.1,21.14,3515.0
2024-05-17 08:02:34-04:00,21.11,21.14,21.11,21.13,2502.0
2024-05-17 08:02:35-04:00,21.12,21.13,21.12,21.1201,1082.0
2024-05-17 08:02:36-04:00,21.1202,21.13,21.12,21.12,1537.0
2024-05-17 08:02:37-04:00,21.13,21.13,21.12,21.13,5024.0
2024-05-17 08:02:38-04:00,21.13,21.29,21.12,21.13,7285.0
2024-05-17 08:02:39-04:00,21.19,21.19,21.13,21.1317,1943.0
2024-05-17 08:02:40-04:00,21.19,21.24,21.05,21.14,9485.0
2024-05-17 08:02:41-04:00,21.12,21.18,21.09,21.18,2593.0
2024-05-17 08:02:42-04:00,21.18,21.18,21.03,21.1295,1343.0
