file,ticks,frame_bits,mask,anchor_usd,duration_s,compression_ratio,delta_points,price_path_file
gme_20240517_080000_080300,971,512,0,14.72,1,4,46,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_080000_080300_csv_w1_1d.csv
gme_20240517_080400_080600,435,512,0,29.24,60,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_080400_080600_csv_w1_1d.csv
gme_20240517_080700_080800,334,512,0,30.305,54,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_080700_080800_csv_w1_1d.csv
gme_20240517_081000_081100,1220,512,0,31.755,53,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_081000_081100_csv_w1_1d.csv
gme_20240517_110200_110300,218,512,0,29.15,48,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_110200_110300_csv_w1_1d.csv
gme_20240517_113400_113500,548,512,0,24.61,34,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_113400_113500_csv_w1_1d.csv
gme_20240517_113800_113900,709,512,0,24.69,42,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_113800_113900_csv_w1_1d.csv
gme_20240517_114500_114600,614,512,0,22.645,52,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_114500_114600_csv_w1_1d.csv
gme_20240517_133500_133600,1491,512,0,21.17,52,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_133500_133600_csv_w1_1d.csv
gme_20240517_133700_134000,4416,512,0,21.45,60,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_133700_134000_csv_w1_1d.csv
gme_20240517_134100_134200,1794,512,0,21.465,53,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_134100_134200_csv_w1_1d.csv
gme_20240517_162400_162500,1012,512,0,20.335,55,4,50,docs/demo/price_paths/price_path_csv__Users_TheGameStopsNow_Documents_GitHub_power-tracks-engine_docs_demo_diagnostics_bursts_gme_20240517_162400_162500_csv_w1_1d.csv
