burst_id,burst_start,lag_days,trade_count,unique_strikes,unique_expirations,call_count,put_count,total_size,total_notional,call_notional,put_notional,avg_price,avg_strike,call_itm_notional,call_atm_notional,call_otm_notional,put_itm_notional,put_atm_notional,put_otm_notional,cluster,close,return_20d,return_60d,return_120d,return_250d
2024-05-14_2024-05-14 08:00:00-04:00,2024-05-14 08:00:00-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:00:00-04:00,2024-05-14 08:00:00-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:00:00-04:00,2024-05-14 08:00:00-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:00:00-04:00,2024-05-14 08:00:00-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:00:00-04:00,2024-05-14 08:00:00-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:02:00-04:00,2024-05-14 08:02:00-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:02:00-04:00,2024-05-14 08:02:00-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:02:00-04:00,2024-05-14 08:02:00-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:02:00-04:00,2024-05-14 08:02:00-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:02:00-04:00,2024-05-14 08:02:00-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:33:57-04:00,2024-05-14 08:33:57-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:33:57-04:00,2024-05-14 08:33:57-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:33:57-04:00,2024-05-14 08:33:57-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:33:57-04:00,2024-05-14 08:33:57-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:33:57-04:00,2024-05-14 08:33:57-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:34:11-04:00,2024-05-14 08:34:11-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:34:11-04:00,2024-05-14 08:34:11-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:34:11-04:00,2024-05-14 08:34:11-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:34:11-04:00,2024-05-14 08:34:11-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:34:11-04:00,2024-05-14 08:34:11-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:53:37-04:00,2024-05-14 08:53:37-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:53:37-04:00,2024-05-14 08:53:37-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:53:37-04:00,2024-05-14 08:53:37-04:00,5,102,13,1,84,18,630,4568.970000000001,4074.6499999999996,494.32,8.661470588235295,17.00980392156863,4074.6499999999996,0.0,0.0,0.0,0.0,494.32,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:53:37-04:00,2024-05-14 08:53:37-04:00,6,223,12,1,202,21,798,6287.880000000001,5809.49,478.39,7.8621973094170405,15.260089686098654,5809.49,0.0,0.0,0.0,0.0,478.39,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:53:37-04:00,2024-05-14 08:53:37-04:00,7,256,13,1,229,27,816,5272.74,4730.67,542.07,6.9946874999999995,17.26953125,4730.67,0.0,0.0,0.0,0.0,542.07,3.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:54:28-04:00,2024-05-14 08:54:28-04:00,1,987,15,1,604,383,3983,52491.08,41559.520000000004,10931.560000000001,13.374235055724416,23.23505572441743,41559.520000000004,0.0,0.0,0.0,0.0,10931.560000000001,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
2024-05-14_2024-05-14 08:54:28-04:00,2024-05-14 08:54:28-04:00,4,209,15,1,148,61,598,4331.91,2985.44,1346.4700000000005,7.570574162679426,20.492822966507177,2985.44,0.0,0.0,0.0,0.0,1346.4700000000005,4.0,51.0,-49.01960784313726,-56.88313725490196,-56.33313725490196,-43.803921568627445
