burst_id,min_lag,duration_seconds,cluster,predicted_prob_250d_gt20,target_gt20_250d
2021-03-05_2021-03-05 08:00:01-05:00,89.04166666666667,275.0,2.0,6.475604325528206e-39,0
2021-03-05_2021-03-05 08:05:07-05:00,89.038125,18.0,0.0,3.465510641416223e-39,0
2021-03-05_2021-03-05 08:05:52-05:00,89.03760416666667,0.0,0.0,3.400132522269723e-39,0
2021-03-05_2021-03-05 08:08:21-05:00,89.03587962962963,135.0,3.0,3.135890655384543e-38,0
2021-03-05_2021-03-05 08:11:01-05:00,89.03402777777778,50.0,0.0,4.320806143584447e-39,0
2021-03-09_2021-03-09 09:04:17-05:00,84.99703703703703,172.0,1.0,1.620973920308165e-71,0
2021-03-09_2021-03-09 09:07:49-05:00,84.99458333333334,9.0,3.0,1.753992822976742e-71,0
2021-03-09_2021-03-09 09:08:00-05:00,84.99445601851852,14.0,3.0,1.7894843274824429e-71,0
2021-03-09_2021-03-09 09:08:16-05:00,84.99427083333333,20.0,3.0,1.909131519538254e-71,0
2021-03-09_2021-03-09 09:08:38-05:00,84.99401620370371,8.0,3.0,2.5133829498049627e-71,0
2021-03-09_2021-03-09 09:08:48-05:00,84.99390046296297,12.0,3.0,2.5232117555632e-71,0
2021-03-09_2021-03-09 09:09:02-05:00,84.99373842592593,0.0,3.0,2.4893456835723827e-71,0
2021-03-09_2021-03-09 09:09:04-05:00,84.99371527777778,0.0,3.0,2.4897510516888104e-71,0
2021-03-09_2021-03-09 09:09:06-05:00,84.99369212962964,4.0,3.0,2.5005521855723824e-71,0
2021-03-09_2021-03-09 09:09:12-05:00,84.99362268518519,2.0,3.0,2.495223861113523e-71,0
2021-03-09_2021-03-09 09:09:18-05:00,84.99355324074074,4.0,3.0,2.4994936772048175e-71,0
2021-03-09_2021-03-09 09:09:24-05:00,84.9934837962963,38.0,3.0,1.6790550988608504e-71,0
2021-03-10_2021-03-10 08:00:00-05:00,84.04167824074074,3399.0,4.0,2.3994562924884695e-91,0
2021-03-10_2021-03-10 08:56:42-05:00,84.00230324074074,0.0,0.0,4.115557077857957e-89,0
2021-03-10_2021-03-10 08:56:44-05:00,84.0022800925926,1.0,0.0,9.192627912530372e-89,0
2021-03-10_2021-03-10 08:56:47-05:00,84.00224537037037,30.0,3.0,3.058691216062437e-88,0
2021-03-10_2021-03-10 08:57:22-05:00,84.00184027777777,5.0,3.0,4.755970290160681e-88,0
2021-03-10_2021-03-10 08:57:35-05:00,84.00168981481481,7.0,0.0,7.024445459656098e-89,0
2021-03-10_2021-03-10 08:57:50-05:00,84.0015162037037,0.0,2.0,4.356869762886542e-88,0
2021-03-10_2021-03-10 08:57:52-05:00,84.00149305555556,4.0,0.0,9.509929209725628e-89,0
2021-03-10_2021-03-10 08:58:00-05:00,84.00140046296296,4.0,3.0,6.712583411030586e-88,0
2021-03-10_2021-03-10 08:58:59-05:00,84.0007175925926,0.0,0.0,9.563337910249786e-89,0
2021-03-10_2021-03-10 08:59:02-05:00,84.00068287037037,1.0,0.0,9.568944340161869e-89,0
2021-03-10_2021-03-10 08:59:10-05:00,84.00059027777777,62.0,3.0,1.3740821931868425e-88,0
2021-03-10_2021-03-10 09:00:15-05:00,83.99983796296296,11.0,3.0,6.153777757996356e-88,0
2021-03-10_2021-03-10 09:18:46-05:00,83.98697916666667,8.0,3.0,6.136517513486841e-88,0
2021-03-10_2021-03-10 09:18:56-05:00,83.98686342592593,2.0,3.0,6.501464699051739e-88,0
2021-03-10_2021-03-10 09:19:05-05:00,83.98675925925926,0.0,3.0,6.43782562756282e-88,0
2021-03-10_2021-03-10 09:19:35-05:00,83.98641203703704,1.0,3.0,7.814990815202669e-88,0
2021-03-10_2021-03-10 09:19:38-05:00,83.98637731481482,11.0,3.0,6.450677934297826e-88,0
2021-03-10_2021-03-10 09:19:51-05:00,83.98622685185185,0.0,3.0,8.325261564776864e-88,0
2021-03-10_2021-03-10 09:20:08-05:00,83.98603009259259,0.0,3.0,8.324453055000001e-88,0
2021-03-10_2021-03-10 09:20:25-05:00,83.98583333333333,1.0,3.0,8.264799392308881e-88,0
2021-03-11_2021-03-11 08:00:01-05:00,83.04166666666667,3818.0,4.0,2.3057436974811855e-83,0
2021-03-11_2021-03-11 09:03:46-05:00,82.99739583333333,59.0,3.0,2.7325372123659455e-78,0
2021-03-11_2021-03-11 09:04:56-05:00,82.99658564814816,2.0,3.0,6.277121600714089e-78,0
2021-03-11_2021-03-11 09:05:03-05:00,82.99650462962963,15.0,3.0,6.353470876604184e-78,0
2021-03-11_2021-03-11 09:05:21-05:00,82.9962962962963,35.0,3.0,6.520554033098443e-78,0
2021-03-11_2021-03-11 09:23:52-05:00,82.9834375,153.0,1.0,1.7847025624138682e-78,0
2021-03-11_2021-03-11 09:26:42-05:00,82.9814699074074,3.0,3.0,3.9149953376814414e-78,0
2021-03-12_2021-03-12 08:00:03-05:00,82.04164351851851,1.0,3.0,9.971440258266526e-89,0
2021-03-15_2021-03-15 08:00:00-04:00,79.08334490740741,18.0,2.0,1.0741546956519972e-90,0
2021-03-15_2021-03-15 08:00:36-04:00,79.08292824074074,0.0,3.0,2.225345794997534e-89,0
2021-03-15_2021-03-15 08:00:40-04:00,79.08288194444444,10.0,0.0,2.57472018687801e-90,0
2021-03-15_2021-03-15 08:01:14-04:00,79.08248842592593,0.0,2.0,1.6358886988351886e-89,0
2021-03-15_2021-03-15 08:01:19-04:00,79.08243055555556,0.0,5.0,6.306809737027276e-90,0
2021-03-15_2021-03-15 08:01:22-04:00,79.08239583333334,0.0,0.0,3.2298466599124865e-90,0
2021-03-15_2021-03-15 08:01:33-04:00,79.08226851851852,0.0,2.0,1.7004545935047285e-89,0
2021-03-15_2021-03-15 08:01:39-04:00,79.08219907407407,0.0,2.0,1.5692753389305776e-89,0
2021-03-15_2021-03-15 08:01:48-04:00,79.08209490740741,0.0,5.0,6.306923786542582e-90,0
2021-03-15_2021-03-15 08:01:59-04:00,79.08196759259259,0.0,5.0,6.306967047242961e-90,0
2021-03-15_2021-03-15 09:07:35-04:00,79.03641203703704,7.0,3.0,2.1735374878757658e-89,0
2021-03-15_2021-03-15 09:07:44-04:00,79.03630787037036,0.0,3.0,2.1955241562688485e-89,0
2021-03-15_2021-03-15 09:07:46-04:00,79.03628472222222,1.0,3.0,2.1630390582998378e-89,0
2021-03-15_2021-03-15 09:07:49-04:00,79.03625,0.0,3.0,2.1611406238989626e-89,0
2021-03-15_2021-03-15 09:07:51-04:00,79.03622685185185,153.0,1.0,2.375722817053239e-89,0
2021-03-15_2021-03-15 09:10:26-04:00,79.03443287037037,28.0,3.0,1.5423075222103112e-89,0
2021-03-15_2021-03-15 09:10:56-04:00,79.03408564814815,12.0,3.0,1.676203751533519e-89,0
2021-03-15_2021-03-15 09:11:10-04:00,79.0339236111111,0.0,0.0,3.212916822101034e-90,0
2021-03-15_2021-03-15 09:11:13-04:00,79.0338888888889,1.0,3.0,2.0783086893552128e-89,0
2021-03-15_2021-03-15 09:11:16-04:00,79.03385416666667,5.0,3.0,2.0851912267705787e-89,0
2021-03-15_2021-03-15 09:11:23-04:00,79.03377314814814,1.0,3.0,2.234053271021585e-89,0
2021-03-15_2021-03-15 09:11:28-04:00,79.03371527777777,1.0,0.0,3.2159544972753537e-90,0
2021-03-15_2021-03-15 09:13:33-04:00,79.03226851851852,0.0,0.0,2.349009253865179e-90,0
2021-03-15_2021-03-15 09:13:35-04:00,79.03224537037038,0.0,3.0,1.6319882785580825e-89,0
2021-03-15_2021-03-15 09:13:37-04:00,79.03222222222222,0.0,3.0,1.632078215685834e-89,0
2021-03-15_2021-03-15 09:13:40-04:00,79.0321875,3.0,3.0,1.6361309039483246e-89,0
2021-03-15_2021-03-15 09:13:45-04:00,79.03212962962964,0.0,3.0,2.2494318790251837e-89,0
2021-03-15_2021-03-15 09:13:52-04:00,79.03204861111111,3.0,3.0,1.6355264011626733e-89,0
2021-03-15_2021-03-15 09:14:01-04:00,79.03194444444445,0.0,3.0,1.658342335801594e-89,0
2021-03-15_2021-03-15 09:14:03-04:00,79.03192129629629,4.0,3.0,1.6370655755547517e-89,0
2021-03-15_2021-03-15 09:14:09-04:00,79.03185185185185,0.0,3.0,1.7261825442187028e-89,0
2021-03-15_2021-03-15 09:14:11-04:00,79.03182870370371,0.0,0.0,2.4851297085336037e-90,0
2021-03-15_2021-03-15 09:14:13-04:00,79.03180555555555,2.0,3.0,1.728203157937991e-89,0
2021-03-15_2021-03-15 09:14:17-04:00,79.03175925925926,3.0,0.0,2.490634486853208e-90,0
2021-03-15_2021-03-15 09:14:23-04:00,79.03168981481481,1.0,5.0,5.26325002727339e-90,0
2021-03-15_2021-03-15 09:14:26-04:00,79.03165509259259,0.0,3.0,2.2498528928757353e-89,0
2021-03-15_2021-03-15 09:14:28-04:00,79.03163194444444,2.0,3.0,1.7287779072461847e-89,0
2021-03-15_2021-03-15 09:14:33-04:00,79.03157407407407,1.0,0.0,2.487485496608111e-90,0
2021-03-15_2021-03-15 09:14:37-04:00,79.03152777777778,0.0,0.0,2.485036151152532e-90,0
2021-03-15_2021-03-15 09:14:39-04:00,79.03150462962962,1.0,3.0,1.7277344459803873e-89,0
2021-03-15_2021-03-15 09:14:42-04:00,79.03146990740741,1.0,3.0,1.7277376780480444e-89,0
2021-03-15_2021-03-15 09:14:47-04:00,79.03141203703704,0.0,3.0,1.7260375076694577e-89,0
2021-03-15_2021-03-15 09:14:49-04:00,79.03138888888888,15.0,3.0,1.7462428076683048e-89,0
2021-03-15_2021-03-15 09:15:06-04:00,79.03119212962963,0.0,0.0,3.3317865187475232e-90,0
2021-03-15_2021-03-15 09:15:08-04:00,79.03116898148149,1.0,3.0,1.727393497863912e-89,0
2021-03-15_2021-03-15 09:15:11-04:00,79.03113425925926,4.0,3.0,1.732242571865983e-89,0
2021-03-15_2021-03-15 09:15:18-04:00,79.03105324074075,1.0,0.0,3.3483382979568944e-90,0
2021-03-15_2021-03-15 09:15:21-04:00,79.03101851851852,3.0,3.0,2.328996839651152e-89,0
2021-03-15_2021-03-15 09:15:26-04:00,79.03096064814815,7.0,3.0,1.8520521979575896e-89,0
2021-03-15_2021-03-15 09:15:35-04:00,79.03085648148148,2.0,3.0,1.8434355934707334e-89,0
2021-03-15_2021-03-15 09:15:40-04:00,79.03079861111111,3.0,3.0,2.254932125162553e-89,0
2021-03-15_2021-03-15 09:15:45-04:00,79.03074074074074,0.0,3.0,2.2503273074637464e-89,0
2021-03-15_2021-03-15 09:15:47-04:00,79.0307175925926,1.0,0.0,3.242220282098731e-90,0
2021-03-15_2021-03-15 09:15:52-04:00,79.03065972222223,0.0,0.0,3.239210796764235e-90,0
2021-03-15_2021-03-15 09:15:54-04:00,79.03063657407408,0.0,0.0,3.2393893062050927e-90,0
2021-03-15_2021-03-15 09:15:57-04:00,79.03060185185186,2.0,0.0,3.2437032866880226e-90,0
2021-03-15_2021-03-15 09:19:14-04:00,79.02832175925926,0.0,3.0,2.2681516330965045e-89,0
2021-03-15_2021-03-15 09:19:22-04:00,79.02822916666666,0.0,3.0,2.2681629478460683e-89,0
2021-03-15_2021-03-15 09:19:24-04:00,79.02820601851852,0.0,2.0,1.719161784954088e-89,0
2021-03-15_2021-03-15 09:19:30-04:00,79.02813657407407,0.0,0.0,2.4853563544950593e-90,0
2021-03-15_2021-03-15 09:19:32-04:00,79.02811342592592,2.0,0.0,2.489200835958337e-90,0
2021-03-15_2021-03-15 09:19:36-04:00,79.02806712962963,5.0,3.0,1.7334003544211205e-89,0
2021-03-15_2021-03-15 09:19:44-04:00,79.02797453703704,24.0,3.0,1.7614939107371615e-89,0
2021-03-15_2021-03-15 09:20:11-04:00,79.02766203703703,16.0,3.0,1.7476603060644322e-89,0
2021-03-15_2021-03-15 09:20:29-04:00,79.0274537037037,7.0,3.0,1.7356694006078712e-89,0
2021-03-15_2021-03-15 09:20:38-04:00,79.02734953703704,44.0,3.0,1.2998149331404712e-89,0
2021-03-15_2021-03-15 09:21:24-04:00,79.02681712962963,2.0,3.0,2.254039082314149e-89,0
2021-03-15_2021-03-15 09:21:28-04:00,79.02677083333333,2.0,0.0,3.244547603824066e-90,0
2021-03-15_2021-03-15 09:21:32-04:00,79.02672453703704,7.0,3.0,2.2643550088624524e-89,0
2021-03-15_2021-03-15 09:21:47-04:00,79.02655092592593,4.0,3.0,2.2579201192689282e-89,0
2021-03-15_2021-03-15 09:21:55-04:00,79.02645833333334,33.0,3.0,1.5461886393427557e-89,0
2021-03-15_2021-03-15 09:22:30-04:00,79.02605324074074,66.0,3.0,1.597625082939619e-89,0
