date,start,end,max,count
2024-06-07,2024-06-07 08:00:00-04:00,2024-06-07 08:00:01-04:00,47.8721,19764
2024-06-07,2024-06-07 08:00:05-04:00,2024-06-07 08:00:08-04:00,48.26,10106
2024-06-07,2024-06-07 08:00:50-04:00,2024-06-07 08:00:51-04:00,47.8129,1390
2024-06-07,2024-06-07 08:00:54-04:00,2024-06-07 08:00:55-04:00,47.7927,2690
2024-06-07,2024-06-07 08:01:38-04:00,2024-06-07 08:01:38-04:00,48.82,367
2024-06-07,2024-06-07 08:01:41-04:00,2024-06-07 08:01:41-04:00,48.5494,59
2024-06-07,2024-06-07 08:02:51-04:00,2024-06-07 08:02:51-04:00,46.55,14
2024-06-07,2024-06-07 08:04:17-04:00,2024-06-07 08:04:22-04:00,48.4899,101
2024-06-07,2024-06-07 08:04:25-04:00,2024-06-07 08:04:32-04:00,48.81,147
2024-06-07,2024-06-07 08:04:35-04:00,2024-06-07 08:04:42-04:00,48.7,196
2024-06-07,2024-06-07 08:04:45-04:00,2024-06-07 08:04:52-04:00,48.81,207
2024-06-07,2024-06-07 08:04:56-04:00,2024-06-07 08:04:58-04:00,48.8,77
2024-06-07,2024-06-07 08:05:26-04:00,2024-06-07 08:05:26-04:00,48.54,42
2024-06-07,2024-06-07 08:26:23-04:00,2024-06-07 08:26:26-04:00,48.8,57
2024-06-07,2024-06-07 08:26:56-04:00,2024-06-07 08:27:02-04:00,48.82,114
2024-06-07,2024-06-07 08:27:33-04:00,2024-06-07 08:27:36-04:00,48.8,58
2024-06-07,2024-06-07 08:28:04-04:00,2024-06-07 08:28:04-04:00,48.37,13
2024-06-07,2024-06-07 08:28:34-04:00,2024-06-07 08:28:38-04:00,48.75,89
2024-06-07,2024-06-07 08:29:07-04:00,2024-06-07 08:29:10-04:00,48.79,69
2024-06-07,2024-06-07 08:29:39-04:00,2024-06-07 08:29:41-04:00,48.81,56
2024-06-07,2024-06-07 08:30:10-04:00,2024-06-07 08:30:12-04:00,48.54,38
2024-06-07,2024-06-07 08:30:39-04:00,2024-06-07 08:30:42-04:00,48.8,57
2024-06-07,2024-06-07 08:45:24-04:00,2024-06-07 08:45:24-04:00,60.0,19
2024-06-07,2024-06-07 08:45:40-04:00,2024-06-07 08:45:40-04:00,60.0,24
2024-06-07,2024-06-07 08:45:58-04:00,2024-06-07 08:45:58-04:00,60.01,19
2024-06-07,2024-06-07 08:46:12-04:00,2024-06-07 08:46:12-04:00,60.92,8
2024-06-07,2024-06-07 08:46:25-04:00,2024-06-07 08:46:25-04:00,61.0,20
2024-06-07,2024-06-07 08:46:41-04:00,2024-06-07 08:46:41-04:00,61.0,10
2024-06-07,2024-06-07 08:46:57-04:00,2024-06-07 08:46:57-04:00,61.01,8
2024-06-07,2024-06-07 08:47:11-04:00,2024-06-07 08:47:11-04:00,61.07,5
2024-06-07,2024-06-07 08:47:27-04:00,2024-06-07 08:47:27-04:00,61.16,13
2024-06-07,2024-06-07 08:47:43-04:00,2024-06-07 08:47:43-04:00,61.26,12
2024-06-07,2024-06-07 08:47:55-04:00,2024-06-07 08:47:55-04:00,61.48,10
2024-06-07,2024-06-07 08:48:11-04:00,2024-06-07 08:48:11-04:00,61.53,10
2024-06-07,2024-06-07 08:48:25-04:00,2024-06-07 08:48:25-04:00,61.62,6
2024-06-07,2024-06-07 08:48:38-04:00,2024-06-07 08:48:38-04:00,61.69,10
2024-06-07,2024-06-07 08:48:53-04:00,2024-06-07 08:48:53-04:00,61.7,14
2024-06-07,2024-06-07 08:49:09-04:00,2024-06-07 08:49:09-04:00,61.8,17
2024-06-07,2024-06-07 08:49:23-04:00,2024-06-07 08:49:23-04:00,61.8,12
2024-06-07,2024-06-07 08:49:38-04:00,2024-06-07 08:49:38-04:00,61.87,12
2024-06-07,2024-06-07 08:49:53-04:00,2024-06-07 08:49:53-04:00,61.88,14
2024-06-07,2024-06-07 08:50:25-04:00,2024-06-07 08:50:25-04:00,61.91,7
2024-06-07,2024-06-07 08:50:38-04:00,2024-06-07 08:50:38-04:00,61.93,7
2024-06-07,2024-06-07 08:50:53-04:00,2024-06-07 08:50:53-04:00,62.0,5
2024-06-07,2024-06-07 08:51:08-04:00,2024-06-07 08:51:08-04:00,62.0,9
2024-06-07,2024-06-07 08:51:24-04:00,2024-06-07 08:51:24-04:00,62.0,9
2024-06-07,2024-06-07 08:51:39-04:00,2024-06-07 08:51:39-04:00,62.0,4
2024-06-07,2024-06-07 08:51:54-04:00,2024-06-07 08:51:54-04:00,62.02,11
2024-06-07,2024-06-07 08:52:12-04:00,2024-06-07 08:52:12-04:00,62.03,11
2024-06-07,2024-06-07 08:52:26-04:00,2024-06-07 08:52:26-04:00,62.04,3
2024-06-07,2024-06-07 08:52:41-04:00,2024-06-07 08:52:41-04:00,62.05,14
2024-06-07,2024-06-07 08:52:57-04:00,2024-06-07 08:52:57-04:00,62.05,20
2024-06-07,2024-06-07 08:53:13-04:00,2024-06-07 08:53:13-04:00,62.05,6
2024-06-07,2024-06-07 08:53:28-04:00,2024-06-07 08:53:28-04:00,62.06,6
2024-06-07,2024-06-07 08:53:44-04:00,2024-06-07 08:53:44-04:00,62.06,10
2024-06-07,2024-06-07 08:53:59-04:00,2024-06-07 08:53:59-04:00,62.1,6
2024-06-07,2024-06-07 08:54:13-04:00,2024-06-07 08:54:13-04:00,62.15,9
2024-06-07,2024-06-07 08:54:16-04:00,2024-06-07 08:55:44-04:00,63.94,6717
2024-06-07,2024-06-07 08:55:46-04:00,2024-06-07 08:55:53-04:00,63.94,668
2024-06-07,2024-06-07 08:55:55-04:00,2024-06-07 08:56:26-04:00,63.94,2395
2024-06-07,2024-06-07 08:56:28-04:00,2024-06-07 08:57:59-04:00,63.49,8179
2024-06-07,2024-06-07 08:58:01-04:00,2024-06-07 08:58:15-04:00,64.31,1761
2024-06-07,2024-06-07 08:58:35-04:00,2024-06-07 08:58:59-04:00,64.32,1737
2024-06-07,2024-06-07 08:59:09-04:00,2024-06-07 09:00:39-04:00,64.35,6877
2024-06-07,2024-06-07 09:00:41-04:00,2024-06-07 09:01:56-04:00,64.17,9526
2024-06-07,2024-06-07 09:01:58-04:00,2024-06-07 09:02:59-04:00,63.28,11977
2024-06-07,2024-06-07 09:03:01-04:00,2024-06-07 09:03:53-04:00,62.88,10700
2024-06-07,2024-06-07 09:04:01-04:00,2024-06-07 09:04:01-04:00,62.89,14
2024-06-07,2024-06-07 09:04:03-04:00,2024-06-07 09:04:32-04:00,62.9,5759
2024-06-07,2024-06-07 09:04:36-04:00,2024-06-07 09:04:36-04:00,58.88,17
2024-06-07,2024-06-07 09:04:44-04:00,2024-06-07 09:04:44-04:00,62.9,16
2024-06-07,2024-06-07 09:04:54-04:00,2024-06-07 09:04:54-04:00,58.95,27
2024-06-07,2024-06-07 09:04:59-04:00,2024-06-07 09:04:59-04:00,62.9,19
2024-06-07,2024-06-07 09:05:08-04:00,2024-06-07 09:05:08-04:00,58.9,15
2024-06-07,2024-06-07 09:05:15-04:00,2024-06-07 09:05:15-04:00,62.9,18
2024-06-07,2024-06-07 09:05:28-04:00,2024-06-07 09:05:28-04:00,62.94,17
2024-06-07,2024-06-07 09:05:43-04:00,2024-06-07 09:05:43-04:00,62.95,10
2024-06-07,2024-06-07 09:06:01-04:00,2024-06-07 09:06:01-04:00,62.96,5
2024-06-07,2024-06-07 09:06:16-04:00,2024-06-07 09:06:16-04:00,62.96,11
2024-06-07,2024-06-07 09:06:35-04:00,2024-06-07 09:06:35-04:00,62.98,12
2024-06-07,2024-06-07 09:06:51-04:00,2024-06-07 09:06:51-04:00,62.99,13
2024-06-07,2024-06-07 09:07:05-04:00,2024-06-07 09:07:05-04:00,63.0,10
2024-06-07,2024-06-07 09:07:20-04:00,2024-06-07 09:07:20-04:00,63.0,14
