start,end,max,count,date
2024-05-14 08:00:00-04:00,2024-05-15 15:59:59-04:00,80.0,1875999,2024-05-14
2024-05-15 08:00:00-04:00,2024-05-16 15:59:59-04:00,64.74,1083076,2024-05-15
2024-05-16 08:00:00-04:00,2024-05-17 08:00:05-04:00,39.55,385651,2024-05-16
2024-05-17 08:00:50-04:00,2024-05-17 08:00:50-04:00,26.54,153,2024-05-16
2024-05-17 08:00:53-04:00,2024-05-17 08:00:55-04:00,25.5093,1717,2024-05-16
2024-05-17 08:02:00-04:00,2024-05-17 08:02:00-04:00,25.28,62,2024-05-16
2024-05-17 08:03:26-04:00,2024-05-17 08:07:51-04:00,33.0,18249,2024-05-16
2024-05-17 08:15:02-04:00,2024-05-17 08:15:02-04:00,29.37,44,2024-05-16
2024-05-17 08:17:46-04:00,2024-05-17 08:17:46-04:00,29.8,268,2024-05-16
2024-05-17 08:19:43-04:00,2024-05-17 08:19:45-04:00,29.78,20,2024-05-16
2024-05-17 08:19:47-04:00,2024-05-17 08:19:55-04:00,29.79,94,2024-05-16
2024-05-17 08:19:58-04:00,2024-05-17 08:20:05-04:00,29.84,60,2024-05-16
2024-05-17 08:20:09-04:00,2024-05-17 08:20:15-04:00,29.8,81,2024-05-16
2024-05-17 08:20:19-04:00,2024-05-17 08:20:25-04:00,29.79,115,2024-05-16
2024-05-17 08:20:29-04:00,2024-05-17 08:20:35-04:00,29.35,103,2024-05-16
2024-05-17 08:20:39-04:00,2024-05-17 08:20:41-04:00,29.84,28,2024-05-16
2024-05-17 08:22:37-04:00,2024-05-17 08:22:37-04:00,29.23,3,2024-05-16
2024-05-17 08:22:47-04:00,2024-05-17 08:22:49-04:00,32.38,122,2024-05-16
2024-05-17 08:22:52-04:00,2024-05-17 08:23:00-04:00,32.19,816,2024-05-16
2024-05-17 08:23:02-04:00,2024-05-17 08:23:26-04:00,31.49,3406,2024-05-16
2024-05-17 08:23:29-04:00,2024-05-17 08:23:36-04:00,31.3,1068,2024-05-16
2024-05-17 08:23:38-04:00,2024-05-17 08:23:42-04:00,30.44,590,2024-05-16
2024-05-17 08:23:50-04:00,2024-05-17 08:23:50-04:00,29.67,7,2024-05-16
2024-05-17 08:23:59-04:00,2024-05-17 08:23:59-04:00,29.88,5,2024-05-16
2024-05-17 08:24:08-04:00,2024-05-17 08:24:08-04:00,29.93,4,2024-05-16
2024-05-17 08:24:18-04:00,2024-05-17 08:24:18-04:00,29.41,5,2024-05-16
2024-05-17 08:24:29-04:00,2024-05-17 08:24:29-04:00,29.49,4,2024-05-16
2024-05-17 08:24:37-04:00,2024-05-17 08:24:37-04:00,29.87,7,2024-05-16
2024-05-17 08:24:48-04:00,2024-05-17 08:24:48-04:00,30.44,8,2024-05-16
2024-05-17 08:24:57-04:00,2024-05-17 08:24:57-04:00,30.47,5,2024-05-16
2024-05-17 08:25:07-04:00,2024-05-17 08:25:07-04:00,30.23,6,2024-05-16
2024-05-17 08:25:16-04:00,2024-05-17 08:25:16-04:00,30.22,5,2024-05-16
2024-05-17 08:25:25-04:00,2024-05-17 08:25:25-04:00,30.26,5,2024-05-16
2024-05-17 08:25:35-04:00,2024-05-17 08:25:35-04:00,30.06,4,2024-05-16
2024-05-17 08:25:45-04:00,2024-05-17 08:25:45-04:00,29.74,4,2024-05-16
2024-05-17 08:26:02-04:00,2024-05-17 08:26:02-04:00,30.57,6,2024-05-16
2024-05-17 08:26:11-04:00,2024-05-17 08:26:11-04:00,29.82,6,2024-05-16
2024-05-17 08:26:20-04:00,2024-05-17 08:26:20-04:00,30.79,5,2024-05-16
2024-05-17 08:26:29-04:00,2024-05-17 08:26:29-04:00,31.24,7,2024-05-16
2024-05-17 08:26:40-04:00,2024-05-17 08:26:40-04:00,31.03,2,2024-05-16
2024-05-17 08:26:49-04:00,2024-05-17 08:26:49-04:00,31.61,2,2024-05-16
2024-05-17 08:26:59-04:00,2024-05-17 08:26:59-04:00,32.07,3,2024-05-16
2024-05-17 08:27:08-04:00,2024-05-17 08:27:08-04:00,31.77,3,2024-05-16
2024-05-17 08:27:18-04:00,2024-05-17 08:27:18-04:00,30.17,6,2024-05-16
2024-05-17 08:27:31-04:00,2024-05-17 08:27:31-04:00,30.08,4,2024-05-16
2024-05-17 08:27:41-04:00,2024-05-17 08:27:41-04:00,30.2,5,2024-05-16
2024-05-17 08:27:50-04:00,2024-05-17 08:27:50-04:00,29.64,4,2024-05-16
2024-05-17 08:27:59-04:00,2024-05-17 08:27:59-04:00,29.71,8,2024-05-16
