start,end,max,count,date
2024-05-14 08:00:00-04:00,2024-05-14 08:00:48-04:00,80.0,49200,2024-05-14
2024-05-14 08:02:00-04:00,2024-05-14 08:02:01-04:00,79.9997,365,2024-05-14
2024-05-14 08:05:00-04:00,2024-05-14 08:05:00-04:00,70.0,17,2024-05-14
2024-05-14 08:33:57-04:00,2024-05-14 08:34:08-04:00,69.9,290,2024-05-14
2024-05-14 08:34:11-04:00,2024-05-14 08:34:15-04:00,69.38,91,2024-05-14
2024-05-14 08:53:37-04:00,2024-05-14 08:54:03-04:00,69.49,331,2024-05-14
2024-05-14 08:54:28-04:00,2024-05-14 08:59:54-04:00,72.0,4235,2024-05-14
2024-05-14 09:14:56-04:00,2024-05-14 09:14:57-04:00,69.3,20,2024-05-14
2024-05-14 09:14:59-04:00,2024-05-14 09:16:02-04:00,69.75,626,2024-05-14
2024-05-14 09:16:04-04:00,2024-05-14 09:16:26-04:00,69.45,199,2024-05-14
2024-05-14 09:16:35-04:00,2024-05-14 09:19:23-04:00,72.0,2179,2024-05-14
2024-05-14 09:20:49-04:00,2024-05-14 09:21:23-04:00,69.86,371,2024-05-14
2024-05-15 08:01:54-04:00,2024-05-15 08:02:00-04:00,56.575,297,2024-05-15
2024-05-15 08:25:30-04:00,2024-05-15 08:25:30-04:00,60.6,8,2024-05-15
2024-05-15 09:00:07-04:00,2024-05-15 09:00:15-04:00,63.95,923,2024-05-15
2024-05-15 09:00:18-04:00,2024-05-15 09:00:25-04:00,64.2,918,2024-05-15
2024-05-15 09:00:27-04:00,2024-05-15 09:01:06-04:00,64.48,4215,2024-05-15
2024-05-15 09:01:08-04:00,2024-05-15 09:01:15-04:00,64.23,1026,2024-05-15
2024-05-15 09:01:17-04:00,2024-05-15 09:03:06-04:00,64.47,11852,2024-05-15
2024-05-15 09:03:08-04:00,2024-05-15 09:07:00-04:00,64.74,29764,2024-05-15
2024-05-16 08:02:27-04:00,2024-05-16 08:02:28-04:00,39.55,7,2024-05-16
2024-05-17 08:00:50-04:00,2024-05-17 08:00:50-04:00,26.54,153,2024-05-17
2024-05-17 08:03:26-04:00,2024-05-17 08:07:51-04:00,33.0,18249,2024-05-17
2024-05-17 08:15:02-04:00,2024-05-17 08:15:02-04:00,29.37,44,2024-05-17
