frame_idx,start_time,end_time,duration_s,trade_count,total_volume,notional,vwap,price_open,price_close,price_high,price_low,price_range,price_range_pct,roc_bps,amplitude_bps,volatility,volume_intensity,momentum_score,intensity_score,dominant_venue,venue_breakdown,status
0,,,,,,,,,,,,,,,,,,,,,{},corrupt
1,,,,,,,,,,,,,,,,,,,,,{},corrupt
2,,,,,,,,,,,,,,,,,,,,,{},corrupt
3,,,,,,,,,,,,,,,,,,,,,{},corrupt
4,,,,,,,,,,,,,,,,,,,,,{},ok
5,,,,,,,,,,,,,,,,,,,,,{},corrupt
6,,,,,,,,,,,,,,,,,,,,,{},corrupt
7,,,,,,,,,,,,,,,,,,,,,{},corrupt
8,,,,,,,,,,,,,,,,,,,,,{},corrupt
9,,,,,,,,,,,,,,,,,,,,,{},corrupt
10,,,,,,,,,,,,,,,,,,,,,{},corrupt
11,,,,,,,,,,,,,,,,,,,,,{},corrupt
12,,,,,,,,,,,,,,,,,,,,,{},corrupt
13,,,,,,,,,,,,,,,,,,,,,{},corrupt
14,,,,,,,,,,,,,,,,,,,,,{},corrupt
15,,,,,,,,,,,,,,,,,,,,,{},corrupt
16,,,,,,,,,,,,,,,,,,,,,{},corrupt
17,,,,,,,,,,,,,,,,,,,,,{},corrupt
18,,,,,,,,,,,,,,,,,,,,,{},corrupt
19,,,,,,,,,,,,,,,,,,,,,{},corrupt
20,,,,,,,,,,,,,,,,,,,,,{},corrupt
21,,,,,,,,,,,,,,,,,,,,,{},corrupt
